topic	sentence_1	sentence_2	label
Gene editing	<> Animal testing appropriate when there are no alternatives Coalition for Medical Progress, a UK-based pro-animal testing group.	Since sex steroid production pathways branch off proximal to this enzymatic step, affected individuals will have increased sex steroid levels.	NS
Gene editing	Thus, this pathway has proven most useful for rapidly achieving targeted gene knockout.	The combination of stem cells and targeted genome editing technology provides a powerful tool to model human diseases and develop potential cell replacement therapy.	NS
Gene editing	Horizon Discovery Launches New Gene Editing Tools and Services The comprehensive product and service solution enables easier, robust implementation of gene editing experiments in customer's hands.	also curator-level users can edit their gene's settings, so that curators can modify their gene's appearance without the need for a manager to help them out.	SS
Gene editing	The method offers great precision in changing the DNA sequence of a genome and can potentially treat diseases that other forms of gene therapy cannot.	A new tool designed by MSK scientists allows users to identify metabolic changes in kidney cancer tumors that may one day be targets for therapy.	NS
Gene editing	Effects of DNA damage proteins on gene editing Genetically based diseases are life threatening and they require lifelong treatment.	We have identified thousands of DNA variations that are not deadly per se, but can cause disease or other undesirable effects.	NS
Gene editing	Genetically Mapping the Most Lethal E.Coli Strains New approach could lead to fewer deaths, and new treatments.	The effects of morpholinos are temporary, but TALENs cause permanent modifications, and a faster analysis of induced mutations.	NS
Gene editing	This approach could also make it easier to study human disease by inducing specific mutations in human stem cells.	It has been clearly demonstrated that a relatively little increase in character-state space can provide enormous benefits for the accuracy of phylogenetic inference [ 39 ].	DTORCD
Gene editing	If you really look, you CAN find good products made by ethical companies.	That is not to say that net neutrality has not been without its own powerful backers.	DTORCD
Gene editing	Horizon Discovery Launches New Gene Editing Tools and Services The comprehensive product and service solution enables easier, robust implementation of gene editing experiments in customer's hands.	The method offers great precision in changing the DNA sequence of a genome and can potentially treat diseases that other forms of gene therapy cannot.	NS
Gene editing	CAN GENOME EDITING CURE AIDS AND IS IT SAFE?	Gao says gene editing can provide very efficient tools for basic research and crop improvement, including in complex organisms like wheat.	NS
Gene editing	Thus, this pathway has proven most useful for rapidly achieving targeted gene knockout.	According to Church, CRISPR technology is on the scale of 100 times easier, ten times more efficient, and increasingly more applicable to organisms than prior methods.	NS
Gene editing	Gao says gene editing can provide very efficient tools for basic research and crop improvement, including in complex organisms like wheat.	The combination of stem cells and targeted genome editing technology provides a powerful tool to model human diseases and develop potential cell replacement therapy.	NS
Gene editing	His lab is now working on methods that may be safer and more efficient, including targeted nanoparticles.	The combination of stem cells and targeted genome editing technology provides a powerful tool to model human diseases and develop potential cell replacement therapy.	NS
Gene editing	But bone marrow transplants are dangerous, costly and troublesome.	The effects of morpholinos are temporary, but TALENs cause permanent modifications, and a faster analysis of induced mutations.	NS
Gene editing	Clinical trials of its ability to stop the HIV virus infecting immune system cells will start in humans next year.	The work promises to someday make wheat more resistant to the disease, which is typically controlled through the heavy use of fungicides.	NS
Gene editing	But bone marrow transplants are dangerous, costly and troublesome.	Genetically Mapping the Most Lethal E.Coli Strains New approach could lead to fewer deaths, and new treatments.	NS
Gene editing	His lab is now working on methods that may be safer and more efficient, including targeted nanoparticles.	Horizon Discovery Launches New Gene Editing Tools and Services The comprehensive product and service solution enables easier, robust implementation of gene editing experiments in customer's hands.	NS
Gene editing	The combination of stem cells and targeted genome editing technology provides a powerful tool to model human diseases and develop potential cell replacement therapy.	Our earlier example is perhaps the most compelling: we might use gene drives to control malaria by altering Anopheles mosquitoes that transmit the disease.	NS
Gene editing	The study opens promising new avenues for the development of more effective treatments for a range of human diseases.	"""This, when combined with the development of efficient and safe gene editing technologies in human stem cells may greatly help the realization of these expectations."""	NS
Gene editing	The foregone electric production increases with increasing temperature of heat recovery.	Critical hardships arise from the inability to meet basic needs such as food, housing, or medical care.	DTORCD
Gene editing	The combination of stem cells and targeted genome editing technology provides a powerful tool to model human diseases and develop potential cell replacement therapy.	In the last few years this technique and others have really taken off, and are already being used to develop potential treatments for genetic diseases .	SS
Gene editing	The new system also appears to be more efficient than TALEN, and much less expensive.	"""This, when combined with the development of efficient and safe gene editing technologies in human stem cells may greatly help the realization of these expectations."""	NS
Gene editing	Scientists quickly realized that CRISPR-Cas could potentially correct defects in the setting of human genetic disease.	"""This, when combined with the development of efficient and safe gene editing technologies in human stem cells may greatly help the realization of these expectations."""	SS
Gene editing	Thus, this pathway has proven most useful for rapidly achieving targeted gene knockout.	The method offers great precision in changing the DNA sequence of a genome and can potentially treat diseases that other forms of gene therapy cannot.	SS
Gene editing	Effects of DNA damage proteins on gene editing Genetically based diseases are life threatening and they require lifelong treatment.	Because most altered traits don't improve and may even decrease the organism's ability to survive and reproduce, they generally can't spread through wild populations.	NS
Gene editing	The effect of these networks on culture and learning can be significant, as they improve the speed and efficiency of information exchange.	It illustrates how visual representations allow users to perform complex tasks efficiently, and how interaction with representations can lead to deeper understanding and insight.	DTORCD
Gene editing	Similarly, only populations that have the sequence targeted by CRISPR can be altered by a drive, potentially allowing us to target subpopulations with unique sequences.	TALENs are cheaper than ZFNs and morpholinos, more efficient, and have the potential to work on any DNA sequence, whereas ZFNs can target only specific sequences.	NS
Gene editing	The combination of stem cells and targeted genome editing technology provides a powerful tool to model human diseases and develop potential cell replacement therapy.	A new tool designed by MSK scientists allows users to identify metabolic changes in kidney cancer tumors that may one day be targets for therapy.	SS
Gene editing	But bone marrow transplants are dangerous, costly and troublesome.	We have identified thousands of DNA variations that are not deadly per se, but can cause disease or other undesirable effects.	DTORCD
Gene editing	His lab is now working on methods that may be safer and more efficient, including targeted nanoparticles.	Although the genetic cause of DMD has been known for nearly 30 years, there are no treatments that can cure the condition.	DTORCD
Gene editing	TALENSOne of the new kids on the block is a tool that promises easy access to gene editing by even nonexperts in the field.	"""This, when combined with the development of efficient and safe gene editing technologies in human stem cells may greatly help the realization of these expectations."""	NS
Gene editing	Thus, this pathway has proven most useful for rapidly achieving targeted gene knockout.	also curator-level users can edit their gene's settings, so that curators can modify their gene's appearance without the need for a manager to help them out.	NS
Gene editing	CAN GENOME EDITING CURE AIDS AND IS IT SAFE?	The work promises to someday make wheat more resistant to the disease, which is typically controlled through the heavy use of fungicides.	NS
Gene editing	A new tool designed by MSK scientists allows users to identify metabolic changes in kidney cancer tumors that may one day be targets for therapy.	"""This, when combined with the development of efficient and safe gene editing technologies in human stem cells may greatly help the realization of these expectations."""	NS
Gene editing	The combination of stem cells and targeted genome editing technology provides a powerful tool to model human diseases and develop potential cell replacement therapy.	TALENs are cheaper than ZFNs and morpholinos, more efficient, and have the potential to work on any DNA sequence, whereas ZFNs can target only specific sequences.	NS
Gene editing	Gene drives Genes can sometimes gain a fitness advantage that doesn't rely on the organism.	"""Lamin A mutations mainly effect mesoderm-derived tissues, thus gene-editing in these cells could be an attractive therapeutic option."""	NS
Gene editing	Gao says gene editing can provide very efficient tools for basic research and crop improvement, including in complex organisms like wheat.	It has been clearly demonstrated that a relatively little increase in character-state space can provide enormous benefits for the accuracy of phylogenetic inference [ 39 ].	NS
Gene editing	GALE drones will soon fly into hurricanes to more accurately monitor a storm's strength.	It is yet another and further objective of the present invention to provide a fuel cell powered vehicle having improved efficacy during operation.	DTORCD
Gene editing	CAN GENOME EDITING CURE AIDS AND IS IT SAFE?	His lab is now working on methods that may be safer and more efficient, including targeted nanoparticles.	NS
Gene editing	The study opens promising new avenues for the development of more effective treatments for a range of human diseases.	This approach could also make it easier to study human disease by inducing specific mutations in human stem cells.	SS
Gene editing	Clinical trials of its ability to stop the HIV virus infecting immune system cells will start in humans next year.	"""This, when combined with the development of efficient and safe gene editing technologies in human stem cells may greatly help the realization of these expectations."""	NS
Gene editing	The method offers great precision in changing the DNA sequence of a genome and can potentially treat diseases that other forms of gene therapy cannot.	"""This, when combined with the development of efficient and safe gene editing technologies in human stem cells may greatly help the realization of these expectations."""	NS
Gene editing	However, nanoparticles and other delivery methods now being developed for DNA and RNA could prove more effective in targeting other organs, Sharp says.	A new tool designed by MSK scientists allows users to identify metabolic changes in kidney cancer tumors that may one day be targets for therapy.	NS
Gene editing	"""Lamin A mutations mainly effect mesoderm-derived tissues, thus gene-editing in these cells could be an attractive therapeutic option."""	"""This, when combined with the development of efficient and safe gene editing technologies in human stem cells may greatly help the realization of these expectations."""	NS
Gene editing	The combination of stem cells and targeted genome editing technology provides a powerful tool to model human diseases and develop potential cell replacement therapy.	Horizon Discovery Launches New Gene Editing Tools and Services The comprehensive product and service solution enables easier, robust implementation of gene editing experiments in customer's hands.	NS
Gene editing	The study opens promising new avenues for the development of more effective treatments for a range of human diseases.	According to Church, CRISPR technology is on the scale of 100 times easier, ten times more efficient, and increasingly more applicable to organisms than prior methods.	NS
Gene editing	His lab is now working on methods that may be safer and more efficient, including targeted nanoparticles.	A new tool designed by MSK scientists allows users to identify metabolic changes in kidney cancer tumors that may one day be targets for therapy.	NS
Gene editing	TALENSOne of the new kids on the block is a tool that promises easy access to gene editing by even nonexperts in the field.	A new tool designed by MSK scientists allows users to identify metabolic changes in kidney cancer tumors that may one day be targets for therapy.	NS
Gene editing	Genetically Mapping the Most Lethal E.Coli Strains New approach could lead to fewer deaths, and new treatments.	Because most altered traits don't improve and may even decrease the organism's ability to survive and reproduce, they generally can't spread through wild populations.	NS
Gene editing	He was not able to help save the lives of others, as was his wish.	Prominent scientists have questioned whether growing crops for biofuels produces more greenhouse gases than it prevents.	DTORCD
Gene editing	Clinical trials of its ability to stop the HIV virus infecting immune system cells will start in humans next year.	The method offers great precision in changing the DNA sequence of a genome and can potentially treat diseases that other forms of gene therapy cannot.	NS
Gene editing	Recently, however, a more powerful TAL tool was developed that allows scientists to target any sequence in the genome.	"""This, when combined with the development of efficient and safe gene editing technologies in human stem cells may greatly help the realization of these expectations."""	NS
Gene editing	Similarly, only populations that have the sequence targeted by CRISPR can be altered by a drive, potentially allowing us to target subpopulations with unique sequences.	In the last few years this technique and others have really taken off, and are already being used to develop potential treatments for genetic diseases .	NS
Gene editing	However, nanoparticles and other delivery methods now being developed for DNA and RNA could prove more effective in targeting other organs, Sharp says.	The combination of stem cells and targeted genome editing technology provides a powerful tool to model human diseases and develop potential cell replacement therapy.	NS
Gene editing	His lab is now working on methods that may be safer and more efficient, including targeted nanoparticles.	According to Church, CRISPR technology is on the scale of 100 times easier, ten times more efficient, and increasingly more applicable to organisms than prior methods.	NS
Gene editing	However, nanoparticles and other delivery methods now being developed for DNA and RNA could prove more effective in targeting other organs, Sharp says.	Horizon Discovery Launches New Gene Editing Tools and Services The comprehensive product and service solution enables easier, robust implementation of gene editing experiments in customer's hands.	NS
Gene editing	Although the genetic cause of DMD has been known for nearly 30 years, there are no treatments that can cure the condition.	The combination of stem cells and targeted genome editing technology provides a powerful tool to model human diseases and develop potential cell replacement therapy.	NS
Gene editing	Recently, however, a more powerful TAL tool was developed that allows scientists to target any sequence in the genome.	TALENSOne of the new kids on the block is a tool that promises easy access to gene editing by even nonexperts in the field.	HS
Gene editing	This allows creation of customer-specific catalogs on which only products suitable for each individual customer are listed.	Furthermore, many haulers and recyclers have experience in providing commercial recycling services that may be helpful as the agency designs its program.	DTORCD
Gene editing	Horizon Discovery Launches New Gene Editing Tools and Services The comprehensive product and service solution enables easier, robust implementation of gene editing experiments in customer's hands.	A new tool designed by MSK scientists allows users to identify metabolic changes in kidney cancer tumors that may one day be targets for therapy.	NS
Gene editing	CAN GENOME EDITING CURE AIDS AND IS IT SAFE?	TALENSOne of the new kids on the block is a tool that promises easy access to gene editing by even nonexperts in the field.	NS
Gene editing	TALENSOne of the new kids on the block is a tool that promises easy access to gene editing by even nonexperts in the field.	The combination of stem cells and targeted genome editing technology provides a powerful tool to model human diseases and develop potential cell replacement therapy.	NS
Gene editing	The combination of stem cells and targeted genome editing technology provides a powerful tool to model human diseases and develop potential cell replacement therapy.	"""Considering that many human diseases are caused by genetic abnormalities, targeted genetic modification in monkeys is invaluable for the generation of human disease models."""	SS
Gene editing	Thus, this pathway has proven most useful for rapidly achieving targeted gene knockout.	Clinical trials of its ability to stop the HIV virus infecting immune system cells will start in humans next year.	NS
Gene editing	But treating the disease during pregnancy may carry health risks for the ... read more Feb.	This means that any pests attempting to eat the corn plant will die since the pesticide is part of every cell of the plant.	DTORCD
Gene editing	"""Lamin A mutations mainly effect mesoderm-derived tissues, thus gene-editing in these cells could be an attractive therapeutic option."""	It has been clearly demonstrated that a relatively little increase in character-state space can provide enormous benefits for the accuracy of phylogenetic inference [ 39 ].	NS
Gene editing	We have identified thousands of DNA variations that are not deadly per se, but can cause disease or other undesirable effects.	Scientists have developed other gene-editing systems based on DNA-slicing enzymes, also known as nucleases, but those complexes can be expensive and difficult to assemble.	NS
Gene editing	"""This, when combined with the development of efficient and safe gene editing technologies in human stem cells may greatly help the realization of these expectations."""	It has been clearly demonstrated that a relatively little increase in character-state space can provide enormous benefits for the accuracy of phylogenetic inference [ 39 ].	NS
Gene editing	CAN GENOME EDITING CURE AIDS AND IS IT SAFE?	Recently, however, a more powerful TAL tool was developed that allows scientists to target any sequence in the genome.	NS
Gene editing	Recently, however, a more powerful TAL tool was developed that allows scientists to target any sequence in the genome.	also curator-level users can edit their gene's settings, so that curators can modify their gene's appearance without the need for a manager to help them out.	NS
Gene editing	Scientists at a company in California have developed a potentially revolutionary technique to permanently rewrite any gene in the human body.	"""This, when combined with the development of efficient and safe gene editing technologies in human stem cells may greatly help the realization of these expectations."""	NS
Gene editing	"""Lamin A mutations mainly effect mesoderm-derived tissues, thus gene-editing in these cells could be an attractive therapeutic option."""	Alternatively, they might be able to reduce or even eliminate the mosquitoes for long enough to permanently eradicate the malaria parasite.	NS
Gene editing	Our earlier example is perhaps the most compelling: we might use gene drives to control malaria by altering Anopheles mosquitoes that transmit the disease.	"""This, when combined with the development of efficient and safe gene editing technologies in human stem cells may greatly help the realization of these expectations."""	NS
Gene editing	The study opens promising new avenues for the development of more effective treatments for a range of human diseases.	The method offers great precision in changing the DNA sequence of a genome and can potentially treat diseases that other forms of gene therapy cannot.	SS
Gene editing	Gao says gene editing can provide very efficient tools for basic research and crop improvement, including in complex organisms like wheat.	Horizon Discovery Launches New Gene Editing Tools and Services The comprehensive product and service solution enables easier, robust implementation of gene editing experiments in customer's hands.	NS
Gene editing	PMID:25429328Risk factors for developing osteoarthritis include age, previous joint injury, obesity, and a genetic predisposition.	For the population of individuals consenting to donate but found to be unsuitable for the intended recipient, intent to donate upon death will be measured.	DTORCD
Gene editing	Recently, however, a more powerful TAL tool was developed that allows scientists to target any sequence in the genome.	Scientists at a company in California have developed a potentially revolutionary technique to permanently rewrite any gene in the human body.	SS
Gene editing	"""Lamin A mutations mainly effect mesoderm-derived tissues, thus gene-editing in these cells could be an attractive therapeutic option."""	However, nanoparticles and other delivery methods now being developed for DNA and RNA could prove more effective in targeting other organs, Sharp says.	NS
Gene editing	2006 ) and (2) eliminating the need for potentially costly site-specific editing machinery ( K otera et al .	Scientists have developed other gene-editing systems based on DNA-slicing enzymes, also known as nucleases, but those complexes can be expensive and difficult to assemble.	SS
Gene editing	Clinical trials of its ability to stop the HIV virus infecting immune system cells will start in humans next year.	The combination of stem cells and targeted genome editing technology provides a powerful tool to model human diseases and develop potential cell replacement therapy.	NS
Gene editing	The new system also appears to be more efficient than TALEN, and much less expensive.	According to Church, CRISPR technology is on the scale of 100 times easier, ten times more efficient, and increasingly more applicable to organisms than prior methods.	HS
Gene editing	"""This, when combined with the development of efficient and safe gene editing technologies in human stem cells may greatly help the realization of these expectations."""	According to Church, CRISPR technology is on the scale of 100 times easier, ten times more efficient, and increasingly more applicable to organisms than prior methods.	SS
Gene editing	With current technology, it is not possible to effectively run a car directly from the sun.	They can also gain an extra 2% damage for each level of their racial Drone Specialization skill that is trained.	DTORCD
Gene editing	Scientists quickly realized that CRISPR-Cas could potentially correct defects in the setting of human genetic disease.	The combination of stem cells and targeted genome editing technology provides a powerful tool to model human diseases and develop potential cell replacement therapy.	HS
Gene editing	The effects of morpholinos are temporary, but TALENs cause permanent modifications, and a faster analysis of induced mutations.	We have identified thousands of DNA variations that are not deadly per se, but can cause disease or other undesirable effects.	NS
Gene editing	Recently, however, a more powerful TAL tool was developed that allows scientists to target any sequence in the genome.	However, nanoparticles and other delivery methods now being developed for DNA and RNA could prove more effective in targeting other organs, Sharp says.	SS
Gene editing	The combination of stem cells and targeted genome editing technology provides a powerful tool to model human diseases and develop potential cell replacement therapy.	The method offers great precision in changing the DNA sequence of a genome and can potentially treat diseases that other forms of gene therapy cannot.	SS
Gene editing	"""Lamin A mutations mainly effect mesoderm-derived tissues, thus gene-editing in these cells could be an attractive therapeutic option."""	Horizon Discovery Launches New Gene Editing Tools and Services The comprehensive product and service solution enables easier, robust implementation of gene editing experiments in customer's hands.	NS
Gene editing	Scientists quickly realized that CRISPR-Cas could potentially correct defects in the setting of human genetic disease.	The study opens promising new avenues for the development of more effective treatments for a range of human diseases.	HS
Gene editing	Those that really don't test on animals can say so by using the following strategies.	The repairs include replacement of the damaged gate valve and trash rack, and installation of new mechanical operators.	DTORCD
Gene editing	Recently, however, a more powerful TAL tool was developed that allows scientists to target any sequence in the genome.	The method offers great precision in changing the DNA sequence of a genome and can potentially treat diseases that other forms of gene therapy cannot.	SS
Gene editing	Scientists quickly realized that CRISPR-Cas could potentially correct defects in the setting of human genetic disease.	This approach could also make it easier to study human disease by inducing specific mutations in human stem cells.	SS
Genetic diagnosis	The detection of specific diagnostic translocations will thus provide additional information and allows a precise cytologic diagnosis .	To diagnose shingles, a dermatologist will look at ...Irritable bowel syndrome (IBS) is a common gastrointestinal (GI) disorder that considerably reduces the quality of life.	NS
Genetic diagnosis	The detection of specific diagnostic translocations will thus provide additional information and allows a precise cytologic diagnosis .	The combination of PGD and IVF has improved the rate of successful pregnancy due to reduced chances of passing the undesired genetic material in the embryo.	NS
Genetic diagnosis	Population screening for certain genetic disease can be a very efficient step to reducing medical costs through prevention.	Genetic prenatal diagnosis The development of genetic and molecular biology methods has opened up new opportunities in genetic prenatal diagnosis.	SS
Genetic diagnosis	As the field of genetic counseling expands, specialty areas are increasing, creating new opportunities for genetic counselors.	These data illustrate how WGS can be used to improve our ability to discover patients' cancer genetic risks.	NS
Genetic diagnosis	It allows the families that have experiences with heredity diseases and genetic disorders to have a healthy child.	The detection of specific diagnostic translocations will thus provide additional information and allows a precise cytologic diagnosis .	NS
Genetic diagnosis	Recent medical advances have created effective treatments for many genetic diseases.	To diagnose shingles, a dermatologist will look at ...Irritable bowel syndrome (IBS) is a common gastrointestinal (GI) disorder that considerably reduces the quality of life.	NS
Genetic diagnosis	""" [Show abstract] [Hide abstract] ABSTRACT: Mitochondrial disease can be a devastating, degenerative illness, with limited treatment and no cure."	Moreover, the diagnosis of MFS-whether or not established correctly-can be stigmatising, hamper career aspirations, restrict life insurance opportunities, and cause psychosocial burden.	SS
Genetic diagnosis	In the knowledge environment model, digital libraries are designed to support the full cycle of knowledge discovery, creation, and use.	The report discusses the failure of some of the precinct control modules (PCMs) to boot properly, causing delays in opening some polling places.	DTORCD
Genetic diagnosis	Moreover, the diagnosis of MFS-whether or not established correctly-can be stigmatising, hamper career aspirations, restrict life insurance opportunities, and cause psychosocial burden.	A diagnosis of vision loss often negatively impacts psychosocial and social well-being, and patients need assistance coping with their diagnosis [37] .	SS
Genetic diagnosis	Species identification may be of practical value, because infections with select species have a substantial risk of visceral involvement.	Moreover, the diagnosis of MFS-whether or not established correctly-can be stigmatising, hamper career aspirations, restrict life insurance opportunities, and cause psychosocial burden.	NS
Genetic diagnosis	In genetic diseases for which treatments exist, rapid diagnosis is critical for neonatal interventions.	The detection of specific diagnostic translocations will thus provide additional information and allows a precise cytologic diagnosis .	SS
Genetic diagnosis	Further improvements in computer dermoscopy systems and their competent use in clinical settings certainly have the potential to support efforts of improving this situation.	To diagnose shingles, a dermatologist will look at ...Irritable bowel syndrome (IBS) is a common gastrointestinal (GI) disorder that considerably reduces the quality of life.	DTORCD
Genetic diagnosis	Recent medical advances have created effective treatments for many genetic diseases.	Genetic testing can also optimize clinical care by allowing patients to take advantage of emerging targeted therapeutics.	SS
Genetic diagnosis	Good genetic tests could help with diagnosis, identification of high-risk individuals who might benefit from primary prevention, and treatment planning.	* While PGD helps reduce the chances of conceiving a child with a genetic disorder, it cannot completely eliminate this risk.	NS
Genetic diagnosis	Recent medical advances have created effective treatments for many genetic diseases.	Rapid gene-maps for newborns promise to cut diagnosis times to two-and-a-half days for many dangerous genetic ailments, , researchers reported on Wednesday.	NS
Genetic diagnosis	Testing can help with assessing risk for future offspring, and also warn of future medical risks.	Good genetic tests could help with diagnosis, identification of high-risk individuals who might benefit from primary prevention, and treatment planning.	NS
Genetic diagnosis	""" [Show abstract] [Hide abstract] ABSTRACT: Mitochondrial disease can be a devastating, degenerative illness, with limited treatment and no cure."	For example, many children who we refer to as undiagnosed may also be described as having difficulties such as 'global development delay' or 'learning disabilities.'	NS
