id,argument1,argument2,topic,score
1817,The ripple effect shows that when you increase the minimum wage the wages of all others will consequently increase due the need for relativity .,"Increasing the minimum wage would have a ripple effect, raising the incomes of people who make slightly above the minimum wage.",Minimum wage,0.7321428571
1818,"According to the Congressional Budget Office report on The Effects of a Minimum-Wage Increase on Employment and Family Income , increasing the minimum wage from $ 7.25 to $ 10.10 per hour will only reduce the number of people in poverty by 900,000 , a relatively few portion of the 16.5 million people that would supposedly benefit from the raise .","Increasing the minimum wage would have a ripple effect, raising the incomes of people who make slightly above the minimum wage.",Minimum wage,0.4821428571
1819,Business could raise their prices : What often gets lost in the discussion about raising the minimum wage is that low-wage workers probably would n't be alone in having their wages hiked .,Raising the minimum wage would increase the price of consumer goods.,Minimum wage,0.5892857143
1820,"Research suggests that a minimum-wage increase could have a small stimulative effect on the economy as low-wage workers spend their additional earnings , raising demand and job growth , and providing some help on the jobs front . """,Raising the minimum wage would increase economic activity and spur job growth.,Minimum wage,0.6607142857
1821,"GS compared the employment change between December and January in those 13 states to the states that did n’t raise minimum wage , and found that that the states with minimum-wage increases had faster employment growth than the states where the minimum wage remained at its 2013 level .",Raising the minimum wage would increase housing costs.,Minimum wage,0.5178571429
1822,"Given the large spectrum of costs of living , it ’s no surprise that many regions have added increases above the federal minimum wage of $ 7.25 / hour .",Increasing the federal minimum wage would disproportionately harm the poorest areas of the United States.,Minimum wage,0.25
1823,"And given how low the federal minimum wage is in terms of its purchasing power , it would stand to reason that there ’s a lot of room to increase it before any adverse effects to the economy set in .",The current minimum wage is not high enough to allow people to afford housing.,Minimum wage,0.5
1824,The main points of the conservative argument against raising the minimum wage tend to be as follows : Increasing it would lead businesses to either raise prices or fire workers ( or both ) in order to deal with a spiraling cost of labor .,Raising the minimum wage would increase the price of consumer goods.,Minimum wage,0.7321428571
1825,"In fact , a recent study by the Federal Reserve Bank of Chicago concluded that , following an increase in the minimum wage , spending by households with at least one minimum-wage worker increased by $ 700 per quarter .","Increasing the minimum wage would have a ripple effect, raising the incomes of people who make slightly above the minimum wage.",Minimum wage,0.6964285714
1826,"Rather , economic analysis raises questions about whether a higher minimum wage will achieve better outcomes for the economy and reduce poverty .","Increasing the minimum wage would have a ripple effect, raising the incomes of people who make slightly above the minimum wage.",Minimum wage,0.625
1827,A new study by a trio of British labour-market economists ( including one at the Low Pay Commission ) attributes much of that contraction to the minimum wage .,"Increasing the minimum wage would have a ripple effect, raising the incomes of people who make slightly above the minimum wage.",Minimum wage,0.6428571429
1828,"Work is supposed to make one independent , but with the inflation-adjusted federal minimum down by a third from its peak , low-wage workers depend on billions of dollars in public assistance just to make ends meet .",Increasing the federal minimum wage would disproportionately harm the poorest areas of the United States.,Minimum wage,0.5535714286
1829,"To adjust for increased rates of worker productivity in the United States , raising the minimum wage to $ 22 ( or more ) an hour has been presented .",Raising the minimum wage would increase economic activity and spur job growth.,Minimum wage,0.4821428571
1830,"A June 2014 survey found that more than 3 out of 5 small business owners support increasing the minimum wage to $ 10.10 / hour , saying they believe that a higher minimum wage would increase consumer purchasing power ( 58 % ) , help the economy ( 56 % ) , and benefit their businesses via lower employee turnover , increased productivity , and customer satisfaction ( 53 % ) .",Increasing the minimum wage would force businesses to lay off employees and raise unemployment levels.,Minimum wage,0.4642857143
1831,Increasing the federal minimum wage would disproportionately harm the poorest areas of the United States .,Raising the minimum wage would help reduce the federal deficit.,Minimum wage,0.4464285714
1832,The United States currently has laws in place to ensure a minimum wage .,Increasing the federal minimum wage would disproportionately harm the poorest areas of the United States.,Minimum wage,0.5
1833,"It obviously varies by location — but Los Angeles Mayor Eric Garcetti commissioned a study on the issue , and found that a citywide minimum wage of $ 13.25 an hour would provide a significant economic stimulus with negligible job loss .",Raising the minimum wage would increase economic activity and spur job growth.,Minimum wage,0.7321428571
1834,"The Institute for Policy Studies estimated in 2012 that personal income has grown by 100.6 % since 1968 , while the minimum wage has stagnated : "" If our standard for minimum wages had kept pace with overall income growth in the American economy , it would now be $ 21.16 per hour . ""","Increasing the minimum wage would have a ripple effect, raising the incomes of people who make slightly above the minimum wage.",Minimum wage,0.5714285714
1835,"A uniform federal minimum wage may be sub-optimal for many states , and uniform state minimum wages may be sub-optimal for many cities .","The free market should determine minimum wages, not the federal government.",Minimum wage,0.4464285714
1836,"Isabel Sawhill , PhD , Senior Fellow in Economic Studies at the Brookings Institution , stated in 2014 that raising the minimum wage would reduce income inequality , and Jason Furman , PhD , Chairman of President Obama 's Council of Economic Advisers , stated in 2014 that the weakening value of the minimum wage "" is one of the important [ reasons ] ... for inequality at the bottom . """,Increasing the federal minimum wage would disproportionately harm the poorest areas of the United States.,Minimum wage,0.5892857143
1837,"Opponents of boosting the minimum wage focus mainly on the potentially detrimental side effects , like job reduction , and a rise in the cost of consumer goods and services .","Increasing the minimum wage would have a ripple effect, raising the incomes of people who make slightly above the minimum wage.",Minimum wage,0.5714285714
1838,"** That said , it 's also possible that increasing the minimum wage would boost wages among working families with a small or possibly non-existent cost to overall employment .",Increasing the minimum wage would force businesses to lay off employees and raise unemployment levels.,Minimum wage,0.4285714286
1839,"And given how low the federal minimum wage is in terms of its purchasing power , it would stand to reason that there ’s a lot of room to increase it before any adverse effects to the economy set in .",Raising the minimum wage would increase economic activity and spur job growth.,Minimum wage,0.5178571429
1840,"And given how low the federal minimum wage is in terms of its purchasing power , it would stand to reason that there ’s a lot of room to increase it before any adverse effects to the economy set in .",Raising the minimum wage would increase the price of consumer goods.,Minimum wage,0.5357142857
1841,"According to Aaron Pacitti , PhD , Associate Professor of Economics at Siena College , raising the minimum wage would help reduce the federal budget deficit "" by lowering spending on public assistance programs and increasing tax revenue .",A higher minimum wage would reduce government welfare spending.,Minimum wage,0.6785714286
1842,"In the business sector , concerns include the expected increased cost of doing business , threats to profitability , rising levels of unemployment ( and subsequent higher government expenditure on welfare benefits raising tax rates ) , and the possible knock-on effects to the wages of more experienced workers who might already be earning the new statutory minimum wage , or slightly more .","Increasing the minimum wage would have a ripple effect, raising the incomes of people who make slightly above the minimum wage.",Minimum wage,0.7678571429
1843,"Economists from the Federal Reserve Bank of Chicago predicted that a $ 1.75 rise in the federal minimum wage would increase aggregate household spending by $ 48 billion the following year , thus boosting GDP and leading to job growth .",Raising the minimum wage would help reduce the federal deficit.,Minimum wage,0.6428571429
1844,"In Massachusetts , very few workers would be affected by an increase in the federal minimum wage to $ 10.10 , as the Bay State already has a $ 9 minimum wage that is set to increase to $ 11 by 2017 .","Increasing the minimum wage would have a ripple effect, raising the incomes of people who make slightly above the minimum wage.",Minimum wage,0.5535714286
1845,"GS compared the employment change between December and January in those 13 states to the states that did n’t raise minimum wage , and found that that the states with minimum-wage increases had faster employment growth than the states where the minimum wage remained at its 2013 level .","Increasing the minimum wage would have a ripple effect, raising the incomes of people who make slightly above the minimum wage.",Minimum wage,0.6071428571
1846,"In fact , a recent study by the Federal Reserve Bank of Chicago concluded that , following an increase in the minimum wage , spending by households with at least one minimum-wage worker increased by $ 700 per quarter .",A higher minimum wage would reduce government welfare spending.,Minimum wage,0.5
1847,A higher minimum wage could be good news for people who are willing to work at today ’s minimum wage .,A higher minimum wage would reduce government welfare spending.,Minimum wage,0.5
1848,Raising the minimum wage would help reduce the federal deficit .,"Increasing the minimum wage would have a ripple effect, raising the incomes of people who make slightly above the minimum wage.",Minimum wage,0.5357142857
1849,The pros of raising minimum wage would be an immediate increase in income for the working poor .,Raising the minimum wage would encourage companies to outsource jobs to countries where costs would be lower.,Minimum wage,0.5714285714
2200,54 % said they would decrease hiring levels .,More money earned means more money put back into the economy as people spend it .,Minimum wage,0.3214285714
2201,"Raising the minimum wage is one solution , in which governments — federal , state , or local — are seeking to intervene where market inefficiencies have failed us .","Thus , fewer people have a job .",Minimum wage,0.3928571429
2202,"Subsequently , the wage hike will only accelerate the “ end of retail ” and push stores out of business , increasing unemployment .","Overall , if costs of living go up , then we may end up right back where we started .",Minimum wage,0.5357142857
2203,You know how we know a wage increase wo n’t suddenly make fast food companies replace all their employees with robots ?,Thus it is at least theoretically possible that the minimum wage may boost employment .,Minimum wage,0.4642857143
2204,Many people feel it is unfair to give a wage increase to someone who does not work hard and who complains at work all the time .,"Guryan said : "" If the goal is to reduce inequality or improve the well-being of people currently living in poverty , there are other policies that the evidence suggests would be much more cost-effective in the long run , like investing in education , improving funding for things like food stamps and expanding the EITC . """,Minimum wage,0.5714285714
2205,"Joseph E. Chastain , the owner of Lintz department stores , complained in 1966 that "" no company our size can live under such circumstances .","And in the case of Wal-Mart they have raised wages because of supply and demand and that 's good … But the federal government doing this will make it harder and harder for the first rung of the ladder to be reached , particularly for young people , particularly for people that have less education . """,Minimum wage,0.5535714286
2206,This situation often results in stagnant growth .,"There are better ways to address poverty , such as income tax credits for low-income workers or tax policies that encourage asset development and savings for low-income families .",Minimum wage,0.5
2207,It would not lift anywhere near that many people out of poverty .,"If there is an increase in a minimum wage , it could have far-reaching effects on industries that do n't pay it .",Minimum wage,0.3571428571
2208,"However , the researchers note , “ in other cases … the absence of price effects shows the relative unimportance of labor in a business ’s cost structure . ”","It means higher pay for low-wage Americans , but some people argue that even raising it to $ 9 would ultimately boost unemployment , as employers will be able to afford to hire fewer workers .",Minimum wage,0.5
2209,It ’s a sneaky way to increase welfare spending and raise taxes .,This situation often results in stagnant growth .,Minimum wage,0.3392857143
2210,"With an estimated 9 million people making as little as $ 9/hour in these two states , the immediate effects of the wage increases are undeniable .",Companies can be more selective in those whom they employ thus the least skilled and least experienced will typically be excluded .,Minimum wage,0.5178571429
2211,So we need to be honest about the consequences of raising a minimum wage too high .,"As a result , we end up subsidizing companies like McDonald ’s or Walmart that have a large , poorly paid work force .",Minimum wage,0.375
2212,"According to a 2013 study by the Labor Center at Berkeley , 73 % of those signed up for public benefits programs were from working families .",Given the facts it would seem that raising minimum wage would be the answer .,Minimum wage,0.3928571429
2213,Many people in that position are there because they are financially unable to gain more education .,"Year after year , decade after decade , these same arguments have been trotted out by minimum wage opponents each time a wage increase has been proposed .",Minimum wage,0.3928571429
2214,"So while raising the minimum wage from the current $ 7.25 an hour may not be particularly well targeted as an anti-poverty proposal , it ’s not badly targeted , either .","It could take time for low-wage employers to develop business models that allow them to get away with fewer less-skilled employees , meaning that we do n’t see the full effect of a hike right away .",Minimum wage,0.5
2215,""" We create more jobs when other people have more money in their pockets to spend at our businesses . ”","Every time it was raised it was opposed by some few who said "" it is going to lose jobs and wreck the economy "" which is factually untrue as study after study has proven .",Minimum wage,0.4285714286
2216,Minimum wage is meant as an entry level pay minimum .,"It could certainly be the case that the initial raise to $ 11 did n’t require price increases , and future steps up will .",Minimum wage,0.3928571429
2217,"So , really , the market place does a better job ... [ R ] aising the minimum wage causes more unemployment .",54 % said they would decrease hiring levels .,Minimum wage,0.4464285714
2218,But I would not have gotten those jobs if someone had to pay me a large amount of money .,And a job may ultimately be the most valuable thing for a family struggling to escape poverty .,Minimum wage,0.4821428571
2219,"However , using a different methodology , Stanley concluded that there is evidence of publication bias and that correction of this bias shows no relationship between the minimum wage and unemployment .","Turnover slows down , since people are happier with their paychecks , and the unemployed snap up jobs elsewhere in town .",Minimum wage,0.5
2220,"Specifically , he advocates setting a minimum wage at half of the median full-time wage in a given jurisdiction , a standard that would have yielded minimum wages ranging from $ 12.45 in Massachusetts to $ 7.97 in Mississippi .",Some suggest that creating more jobs for people who need them rather than raising earnings for people who already have them is a better solution for reducing the national poverty rate .,Minimum wage,0.375
2221,Increasing the minimum wage would reduce income inequality .,"It also encourages people to join the work force , rather than seek other illegal means of earning money such as selling drugs or prostitution .",Minimum wage,0.5
2222,"This trend was more pronounced in the fast food and hotel sectors — more than 80 percent of franchised fast food owners said they would be more likely to reduce hiring , versus 58 percent of non-fast-food restaurant owners .",Those who are opposed to it tend to believe that it increases unemployment and harms the less skilled workers .,Minimum wage,0.625
2223,"And if it grew in step with worker productivity , the minimum wage would be $ 22 today , triple its current level .","If someone wants to work for $ 5 an hour , and someone wants to hire that person for that much , and no one is forcing either one of them to enter into the agreement , by what authority does government step in and stop them ?",Minimum wage,0.3571428571
2224,It 's not helping as many or as large a portion of the labor market as you probably would like .,CARSON : I would not raise it .,Minimum wage,0.4642857143
2225,"And even if the local experiments are successful , I think that targeted living wage initiatives are a better idea than a federal minimum wage .","It could cause layoffs , fewer , hiring , competion , and applied insistenty .",Minimum wage,0.3571428571
2226,"And even if there are job some losses , the math seems to suggest that the middle class and poor would still earn more income collectively in the deal .","The main potential negative impact of raising the minimum wage is the loss of close to 500,000 jobs , which comes out to around 0.3 % decrease in employment .",Minimum wage,0.6071428571
2227,"Their work was published in 2010 in the journal Review of Economics and Statistics and found that , in the restaurant and retail industries , boosting the minimum wage by 10 percent had effectively no impact on employment levels .",Private industry and the free market are already taking care of it .,Minimum wage,0.2321428571
2228,It would n't cure poverty .,"In February , President Obama raised the minimum wage to $ 10.10 for federal contractors only .",Minimum wage,0.2857142857
2229,"According to a study by Thomas A. Mroz , PhD , and Timothy H. Savage , PhD , for the Employment Policies Institute , "" those experiencing unemployment at an early age have years of lower earnings and an increased likelihood of unemployment ahead of them . ""","Of course , if people are truly making a living wage , they do n't need things like food stamps .",Minimum wage,0.5535714286
2230,"Though $ 10.10 might make low-income workers ' eyes light up , it would also come with a lot of unintended consequences that could negatively impact businesses , investment in businesses , and middle-class American families .",""" When legislators raise the price of low - and unskilled labor , it ’s usually low - and unskilled laborers who end up paying the price , "" Boston Globe columnist Jeff Jacoby wrote in a piece last week .",Minimum wage,0.6428571429
2231,Bastian believes businesses are going to look to outsource to foreign countries with competitive wages or replace employees with technology .,"Some staff at the Seattle-area nonprofit organization , Full Life Care , asked for a reduction in hours after the minimum wage was raised , citing concerns that the increase will mean they lose their housing subsidies yet they are still unable to afford market-rate rents .",Minimum wage,0.4285714286
2232,He had to lay off 5 of his 35 employees who worked at his small book store in New Mexico .,Restaurants especially have passed the cost of minimum wage onto consumers by increasing menu prices .,Minimum wage,0.4464285714
2233,"Either way , they say , the positive impact of the increased wages will be either muted or negated .","Raise minimum wages too high , and you ’ll eventually choke off employment , harming the very people that the policy is intended to help .",Minimum wage,0.625
2234,Not true : The typical minimum wage worker is not a high school student earning weekend pocket money .,"This means that workers are less likely to look for a new job , make pay demands , or quit outright .",Minimum wage,0.3571428571
2235,Thus this price effect may harm the very people whom a minimum wage is supposed to help .,"Based on data from the employers ' responses , the authors concluded that the increase in the minimum wage slightly increased employment in the New Jersey restaurants .",Minimum wage,0.4107142857
2236,"These are extra costs most people fail to account for , and businesses could choose to deal with it in one simple way : by boosting prices .",Many supporters of minimum wage say that it increases the standard of living and keeps people out of poverty .,Minimum wage,0.4464285714
2237,Despite the inevitable negative outcomes that will surely result from a $ 15 minimum wage – we ’ve already seen negative effects in Seattle ’s restaurant industry – politicians and unions seem intent on engaging in an activity that could be described as an “ economic death wish .,The National Employment Law Project reports that many cities have moved to adopt higher minimum wages recently .,Minimum wage,0.625
2238,"According to basic economics , a price floor creates a surplus , meaning that the labor supply is greater than the demand .",Raising the minimum wage would lead to a healthier population and prevent premature deaths .,Minimum wage,0.28125
2239,"That would mean that when wages were forced up , the firms were able to absorb the costs without firing anyone .","Guryan said : "" If the goal is to reduce inequality or improve the well-being of people currently living in poverty , there are other policies that the evidence suggests would be much more cost-effective in the long run , like investing in education , improving funding for things like food stamps and expanding the EITC . """,Minimum wage,0.5535714286
2240,ADJUST AND EVERYBODY IS GOING TOLOSE PURCHASING POWER .,"At the time it was passed , opponents promised it would kill jobs and ultimately hurt the workers it was designed to help .",Minimum wage,0.3571428571
2241,"I would not raise it , specifically because I 'm interested in making sure that people are able to enter the job market and take advantage of opportunities . ""","The Congressional Budget Office projected that a minimum wage increase from $ 7.25 to $ 10.10 would result in a loss of 500,000 jobs .",Minimum wage,0.4821428571
2242,"A driving factor behind this is customer satisfaction : better-paid employees tend to be more satisfied in their jobs , which means they tend to take better care of customers — and that makes customers want to come back .",Because a little empathy might just offer a different perspective on life .,Minimum wage,0.4464285714
2243,"It is true , as conservative commentators often point out , that some minimum-wage workers are middle-class teenagers or secondary earners in fairly well-off households .","Assuming that holds true today , it means that bringing the minimum wage to $ 10.10 would tack $ 1.60 onto the cost of your Big Mac .",Minimum wage,0.2857142857
2244,Raising minimum wage can increase the cost of product .,"First , it mostly benefits parents .",Minimum wage,0.2857142857
2245,"But raising the minimum wage puts money in the pockets of working poor people , at the expense of business owners ( and of consumers who would pay in the form of higher prices ) .",“ I think that is a good initiative to support . ”,Minimum wage,0.3928571429
2246,Obama wants to raise the national minimum wage from $ 7.25 to $ 10.10 per hour .,"Using $ 19 is an extreme example , but plenty of people argue that even a small bump could have detrimental effects .",Minimum wage,0.3214285714
2247,For example in the fast food industry alone research by the University of Illinois and UC Berkeley documents that taxpayers pay about $ 243 billion each year in indirect subsidies to the fast food industry because they pay wages so low that taxpayers must put up $ 243 billion to pay for public benefits for their workers .,"For a single adult with a school-age child , the bare minimum required , in Montana , was $ 19.36 an hour for a full-time worker ; in New York City , it was $ 30.02 .",Minimum wage,0.3392857143
2248,"Meanwhile , the Underwear Institute warned that this and other laws were pushing up the cost of labor which would lead to “ increased use of machinery with the effect of displacing manpower . ”","In 2014 , supporters of minimum wage cited news organizations who reported the state with the highest minimum-wage garnered more job creation than the rest of the United States .",Minimum wage,0.4642857143
2249,"Source : American Bridge , "" The Real Rand Paul : Paul Claimed That Raising the Minimum Wage Hurts ' Minorities and Kids , ' "" americanbridgepac.org , Mar. 27 , 2015 [ Editor 's Note : In 2014 , Senator Paul voted against the Minimum Wage Fairness Act ( S. 2223 ) , which would have raised the federal minimum wage to $ 10.10 after two years . ]",Dr. Amy Glasmeier ’s living wage calculator suggests that a living wage in New York City is $ 14.30 / hour for a single adult taking care of only him/herself .,Minimum wage,0.4107142857
2250,"According to a 2015 report from the National Low Income Housing Coalition , a worker must earn at least $ 15.50 an hour ( over twice the federal minimum wage ) to be able to afford to rent a "" modest "" one-bedroom apartment , and $ 19.35 for a two-bedroom unit ( more than 2.5 times the minimum wage ) .","This helps explain why France also has shockingly high rates of youth unemployment : 26 % for 15 - to 24-year-olds . """,Minimum wage,0.3035714286
2251,Why throw more money at someone who is content with staying put .,Minimum wage laws receive less support from economists than from the general public .,Minimum wage,0.375
2252,"The Fair Labor Standards Act ( FLSA ) , which was introduced to Congress in 1937 , aimed to eliminate sweatshop conditions by establishing a minimum wage , a maximum work week , and outlawing child labor .","Overall , if costs of living go up , then we may end up right back where we started .",Minimum wage,0.4285714286
2253,"We ’re smart enough to know the game is rigged , and when we refuse to participate in a broken system and fight for something better , we ’re somehow the bad guys , the lazy ones .","Sure , maybe automated ordering interfaces can handle limited queues in ideal conditions , but dealing with a busy restaurant at rush time is still far beyond their capabilities .",Minimum wage,0.5178571429
2254,The owner said she 's prospered since Seattle started gradually raising the minimum wage to eventually reach $ 15 an hour .,One real life example of the negative effects of raising the cost of labor can be seen at the local grocery store .,Minimum wage,0.4285714286
2255,"While we do need to appreciate that there will always be low wage earners in jobs that seem less than desirable ( for example , a burger person in a fast food restaurant ) , we do need to also consider other factors .","The economics of the minimum wage are complicated , and it ’s far from obvious what an increase would accomplish .",Minimum wage,0.5
2256,Machines and their upkeep are not cheap .,And then we 'll start paying down the national debt instead of borrowing more money from China to spend some money we do n't have .,Minimum wage,0.3035714286
2257,Many people in that position are there because they are financially unable to gain more education .,"Harvard 's Greg Mankiw writes about evidence that suggests raising the minimum wage has a particularly negative impact on employment opportunities for teens , quoting his economics textbook : “ The typical study finds that a 10 % increase in the minimum wage depresses teenage employment between 1 and 3 % .",Minimum wage,0.3928571429
2258,"Using $ 19 is an extreme example , but plenty of people argue that even a small bump could have detrimental effects .",Myth 5 : “ Raising the minimum wage will kill jobs . ”,Minimum wage,0.4642857143
2259,They also believe that it may increase the work ethic of those who are paid little and thus benefit employers .,They have published stacks of studies ( and a book ) purporting to show that minimum wages hit jobs .,Minimum wage,0.4285714286
