regression_label,discussionId_1,discussionId_2,postId_1,postId_2,datasetId_1,sentenceId_1,sentenceId_2,datasetId_2,sentence_2,sentence_1
1,8438,3621,9,60,1,1,22,1,"Before you state that same-sex couples cannot have children, understand that such a claim is a myth propogated by people whose religious values do not permit having sex outside a marriage or using a surrogate parent.",You're saying the right to marriage is satisfied as long as you are allowed to marry one person irrespective of who that person is or whatever qualities that person may have.
1.333333333,8438,9391,9,522,1,1,1,1,"Unless you change the legal definition of marriage, you can't allow two men to get married to each other.",You're saying the right to marriage is satisfied as long as you are allowed to marry one person irrespective of who that person is or whatever qualities that person may have.
1.333333333,9391,1875,534,60,1,2,12,1,"Marrying someone of the same sex is forbidden whether you are gay and straight, and marriage of the opposite sex is legal whether you are gay and straight.",So I must ask you why exactly are you against same sex marriage when it has been shown that the ban on same sex marriage is just like the ban on interracial couples getting married?
3,9391,3621,534,65,1,2,28,1,"I can further explain that since you cannot prove same-sex couples are inferior, you are not justified in denying them marriage.",So I must ask you why exactly are you against same sex marriage when it has been shown that the ban on same sex marriage is just like the ban on interracial couples getting married?
1.333333333,9391,2572,534,50,1,2,5,1,The burden of proof is not necessarily on you to show why homosexuality is harmful but to show why denying same-sex marriage is helpful.,So I must ask you why exactly are you against same sex marriage when it has been shown that the ban on same sex marriage is just like the ban on interracial couples getting married?
1,2623,29194,4,44,1,2,2,3,"Just as there is no such thing as a ""married bachelor,"" there is no such thing as ""gay marriage.""",gays will have or not have gay marriage based on the law.
1.666666667,2623,3533,4,44,1,2,3,1,"If gay marriage is or is not legalized, it has no affect on laws against polygamy.",gays will have or not have gay marriage based on the law.
2,2623,4381,4,193,1,2,3,1,That is not the case with gay marriage laws - only gay people are realistically impacted.,gays will have or not have gay marriage based on the law.
3.333333333,2623,2623,4,16,1,2,6,1,"Doesn't really matter what the public is thinking, under current laws marriage is a states issue and unless that state has an ammendment the courts could rule in favor of gay marriage based on the 14th ammendment.",gays will have or not have gay marriage based on the law.
2.666666667,2623,9391,4,474,1,2,0,1,"if homosexual couples pass the existing legal definition of marriage, why not ?",gays will have or not have gay marriage based on the law.
4.333333333,2623,1281,4,5,1,2,3,1,"in order for gay marriage to be permissible, the laws will have to be changed.",gays will have or not have gay marriage based on the law.
1.333333333,2623,2583,4,57,1,2,6,1,"Without legal gay marriage, gay partners don't have to worry about common law statutes being used against them by their partner.",gays will have or not have gay marriage based on the law.
1.333333333,2623,5964,4,51,1,2,6,1,Opposition to interracial marriage was based on prejudice and the current opposition to gay marriage is based on prejudice.,gays will have or not have gay marriage based on the law.
2.333333333,2623,14482,4,62,1,2,15,3,Meaning that a federal BAN on gay marriage is unconstitutional; but so is a federal law ALLOWING gay marriage.,gays will have or not have gay marriage based on the law.
2.666666667,2623,9391,4,425,1,2,62,1,"Even with lesbian and gay marriages being performed and recognized in some states, the Federal Defense of Marriage Law prohibits the federal government from recognizing gay and lesbian relationships.",gays will have or not have gay marriage based on the law.
3,10572,9391,8,594,3,3,7,1,"Since we're talking about what rights heterosexual people have versus what rights homosexual people have, the only logical conclusion is that both groups have the same rights since marrying whomever you love is not a right.","Gay marriage should be legal, because by now we should have equal rights, and that's what this is about."
1,2284,2911,31,27,1,3,12,1,"I think the reason there has been resistance to redefine marriage is that people really know that this is not a civil rights issue, despite attempts by the gay lobby to paint it that way.","And by the way I know a lot of folks who have no issues with gays, gay couples, gay parents, etc. that oppose gay marriage."
2,2284,14482,31,389,1,3,9,3,"I have no problem with gay marriage, I do have a problem with the invasion of people's rights to believe that gay union is wrong.","And by the way I know a lot of folks who have no issues with gays, gay couples, gay parents, etc. that oppose gay marriage."
1,2284,2583,31,155,1,3,9,1,the reason I ask is because I've never seen any studies done comparing the % of straight kids raised by homosexual couples and the % of homosexual kids raised by homosexuals.,"And by the way I know a lot of folks who have no issues with gays, gay couples, gay parents, etc. that oppose gay marriage."
1,2284,1613,31,1051,1,3,4,1,I know many gay couples who have adopted children and are loving parents.,"And by the way I know a lot of folks who have no issues with gays, gay couples, gay parents, etc. that oppose gay marriage."
2.666666667,2284,6493,31,52,1,3,5,1,"And as I pointed out, ""most people who oppose gay marriage"" are actually opposing gay marriage because they very much oppose gays in general.","And by the way I know a lot of folks who have no issues with gays, gay couples, gay parents, etc. that oppose gay marriage."
1.333333333,2284,8755,31,203,1,3,85,1,Having the government recognize gay marriage over the will of the people influences people's children into thinking gay marriage is acceptable.,"And by the way I know a lot of folks who have no issues with gays, gay couples, gay parents, etc. that oppose gay marriage."
1,2284,9391,31,500,1,3,7,1,"As far as I know, homosexual people are not barred from marriage.","And by the way I know a lot of folks who have no issues with gays, gay couples, gay parents, etc. that oppose gay marriage."
1.333333333,1613,7030,1173,178,1,6,7,1,"Having the ""right"" to marry someone we don't want to marry is no right at all.","We don't necessarily have a right to officially recognized gay marriage, but we have every right to tell the government if we want it or not."
1,1613,8755,1173,119,1,6,61,1,"Just cause gay marriage is legal doesn't mean anybody ""accepts"" us.","We don't necessarily have a right to officially recognized gay marriage, but we have every right to tell the government if we want it or not."
2,5041,32516,7,15,2,5,1,3,And I never said someone should not be allowed to Mary do to their gender both men and women should be allowed to marry (each other) so it's not sexism at all really.,"I rather give gays their rights than to live in a country that says it's equal, yet won't allow two lesbians to have the same marital status as a man and a woman."
2.666666667,5041,3621,7,149,2,5,5,1,"This fight is about equal rights for gay people; I believe that equality is all that is needed for acceptance, and it sounds to me that you believe the same.","I rather give gays their rights than to live in a country that says it's equal, yet won't allow two lesbians to have the same marital status as a man and a woman."
3,5041,9391,7,619,2,5,9,1,"Like I said before, it doesn't matter if the law explicitly states either ""homosexuals cannot marry"" or ""homosexual marriages are not permitted"", the end result is the same: discrimination.","I rather give gays their rights than to live in a country that says it's equal, yet won't allow two lesbians to have the same marital status as a man and a woman."
3.333333333,5041,369,7,19,2,5,4,1,"Personally I am indifferent towards gay people, they should have the same rights as everyone else, because I don't think a what a person does in the bedroom should have any bearing on their public lives.","I rather give gays their rights than to live in a country that says it's equal, yet won't allow two lesbians to have the same marital status as a man and a woman."
2.333333333,8897,3114,104,101,1,8,2,1,"Same-sex couples are denied over 1,000 benefits, rights, and protections that federal law affords to married, heterosexual couples, as well as hundreds of such protections at the state level.","The federal DOMA was an effort to quarantine same-sex marriage, to exclude same-sex couples from federal rights and benefits even if states were to legalize same-sex marriage, which several have done since 1996."
3,8755,8693,214,29,1,114,27,1,It is NONSENSICAL to challenge the constitutionality (with Constitution B) of an anti-gay marriage AMENDMENT by arguing gay marriage is a constitutionally protected right without acknowledging that the constitution HAS CHANGED to say it isn't a right.,"Marriage is a right for all people, as declared by the constitution."
3.666666667,3323,10073,38,74,1,5,1,1,However it should be recognised that gay marriage is not the same as opposite sex marriage.,"If we want to distinguish between same-sex marriage and opposite-sex marriage, we can simply say, ""same-sex marriage"" or ""opposite-sex marriage""."
1.333333333,3323,3078,38,44,1,5,5,1,We are asking that this restriction be removed so that the right to marriage is allowed to both same-sex and opposite-sex couples.,"If we want to distinguish between same-sex marriage and opposite-sex marriage, we can simply say, ""same-sex marriage"" or ""opposite-sex marriage""."
1,3323,2915,38,238,1,5,6,1,"We both know that as long as marriage is kept for opposite-sex couples alone, then opposite-sex couples will be elevated above same-sex couples under the law.","If we want to distinguish between same-sex marriage and opposite-sex marriage, we can simply say, ""same-sex marriage"" or ""opposite-sex marriage""."
1,3323,9391,38,473,1,5,3,1,We should allow same sex marriage because we as a country believe in equality for all people.,"If we want to distinguish between same-sex marriage and opposite-sex marriage, we can simply say, ""same-sex marriage"" or ""opposite-sex marriage""."
1,3323,7030,38,178,1,5,7,1,"Having the ""right"" to marry someone we don't want to marry is no right at all.","If we want to distinguish between same-sex marriage and opposite-sex marriage, we can simply say, ""same-sex marriage"" or ""opposite-sex marriage""."
1.666666667,3323,2583,38,484,1,5,8,1,"If we allow same-sex couples to legally marry, does it in anyway water down any other marriage between opposite-sex couples?","If we want to distinguish between same-sex marriage and opposite-sex marriage, we can simply say, ""same-sex marriage"" or ""opposite-sex marriage""."
1,3323,2377,38,1,1,5,11,1,"- We need to understand that disagreeement over whether gays should be allowed to have legal same sex marriage is not ""gay-bashing.""","If we want to distinguish between same-sex marriage and opposite-sex marriage, we can simply say, ""same-sex marriage"" or ""opposite-sex marriage""."
1,3323,5061,38,10,1,5,2,1,"Kronus is right the people, who don't like same sex marriage, want to deny samesex couples marriage, even though there is nothing in the law, or constitution that says same sex couples can't be married.","If we want to distinguish between same-sex marriage and opposite-sex marriage, we can simply say, ""same-sex marriage"" or ""opposite-sex marriage""."
1,3323,2583,38,24,1,5,4,1,"If we broaden the definition of marriage to include same sex couples, wouldn't heterosexual unmarried couples still be discriminated against?","If we want to distinguish between same-sex marriage and opposite-sex marriage, we can simply say, ""same-sex marriage"" or ""opposite-sex marriage""."
1.333333333,3323,9391,38,534,1,5,8,1,But really the only thing we have to know on the issue of same sex marriage is the Supreme Court believes marriage is a right and right now gay couples do not have that right.,"If we want to distinguish between same-sex marriage and opposite-sex marriage, we can simply say, ""same-sex marriage"" or ""opposite-sex marriage""."
1.333333333,3719,2915,41,91,1,8,4,1,"However, some arguments in support of same-sex marriage have nothing to do with polygamous marriage.","Certainly the arguments of freedom and equality apply as equally to same-sex marriage as they do to incestuous marriage, but foundation of the debate is the harms incestuous marriage creates."
1,6788,38379,55,47,1,14,5,3,"If gay marriage is just called marriage, how do we express that a couple is straight married?","As we have seen the growth of egalitarian marriages and of women being able to earn higher incomes, we have also seen the coming out of gay couples and the increasing visibility of gay couples raising children."
2,6788,2583,55,155,1,14,9,1,the reason I ask is because I've never seen any studies done comparing the % of straight kids raised by homosexual couples and the % of homosexual kids raised by homosexuals.,"As we have seen the growth of egalitarian marriages and of women being able to earn higher incomes, we have also seen the coming out of gay couples and the increasing visibility of gay couples raising children."
4,7185,7185,152,53,1,16,1,1,The government does not specifically prohibit the legal marriage of gay people.,Now a gay man may not wish to marry a gay woman (or vice versa) but the government does not inherently prohibit marriage between gay persons.
1.333333333,7185,19576,152,15,1,16,37,3,"Marriage is by definition between a man and a woman, and no one else, and the states interest is in a procreative type relationship, a gay couple does not entitle to these benefits.",Now a gay man may not wish to marry a gay woman (or vice versa) but the government does not inherently prohibit marriage between gay persons.
1.666666667,7185,3379,152,75,1,16,1,1,"Man-woman marriage is legal and gets state goodies, but man-man and woman-woman marriages are illegal.",Now a gay man may not wish to marry a gay woman (or vice versa) but the government does not inherently prohibit marriage between gay persons.
2,7185,9331,152,149,1,16,23,1,"If the husband and wife are comfortable with that situation (as presumably the gay couple would be), then the government doesn't care to get involved to disqualify the marriage...",Now a gay man may not wish to marry a gay woman (or vice versa) but the government does not inherently prohibit marriage between gay persons.
2.666666667,7185,7030,152,178,1,16,7,1,"Having the ""right"" to marry someone we don't want to marry is no right at all.",Now a gay man may not wish to marry a gay woman (or vice versa) but the government does not inherently prohibit marriage between gay persons.
2,7185,47,152,342,1,16,0,2,Gay marriage is wrong the reason is because in every definition of marriage it includes man and woman not man and man or women and women it is women and man.,Now a gay man may not wish to marry a gay woman (or vice versa) but the government does not inherently prohibit marriage between gay persons.
2.666666667,9391,8834,331,38,1,7,64,1,"If a marriage is performed in a ""gay marriage"" state, that marriage needs to be recognized in other states.","These recognitions are not only federal but vary state to state, for instance some states recognize 1st cousin marriages while others don't, as I recall, the age of consent to marry also differs among states."
1.333333333,10073,14482,61,110,1,6,3,3,"If people are going to make a big deal out of two people of the same sex getting married, then people of different religions, people of no religion, even people guilty of adultery shouldn't be allowed to marry either.","theres a difference to people who arent used to vast differences, especially in something like marriage, but its equal and the same to people who have been exposed to diversity within society."
4,9391,7122,340,22,1,1,10,1,The people of several states determined that gay marriage is not a right in their constitution.,"Various state constitutions forbid gay marriage, and the people of California and other states have voted no on it several times also."
1.666666667,8228,17656,75,8,1,25,4,3,While many believe that passing laws and constitutional amendments that ban gay marriage is an act that shows how they are honoring what their religions defines as marriage.,"As the passage of these bans show, society does not appear ready to accept gay marriage."
3,10848,3533,1,4,1,21,0,1,"When asked if gay marriage should be allowed to exist equally with marriage, but with a different name, gay rights advocates respond that this would separate it from marriage and cause discrimination.","Gay rights advocates say that because the civil union designation is hard to understand and still treats committed gays differently from married couples, the courts should eliminate civil unions and recognize gay marriage."
2,10848,7858,1,1,1,21,12,1,Gay rights advocates argued the state was violating their civil rights by limiting marriage to opposite-sex couples.,"Gay rights advocates say that because the civil union designation is hard to understand and still treats committed gays differently from married couples, the courts should eliminate civil unions and recognize gay marriage."
4.333333333,10848,6903,1,197,1,21,7,1,"Gay rights activists have continued to press for full marriage equality, saying civil unions do not satisfy a state Supreme Court ruling that entitles gay couples to the same benefits as married couples.","Gay rights advocates say that because the civil union designation is hard to understand and still treats committed gays differently from married couples, the courts should eliminate civil unions and recognize gay marriage."
1.333333333,10848,4699,1,11,1,21,1,1,"Moral belief may have been used to justify opposition on civil rights and women's rights, but I don't think gay lobbyists realize how much moral belief IS the basis for opposing gay marriage.","Gay rights advocates say that because the civil union designation is hard to understand and still treats committed gays differently from married couples, the courts should eliminate civil unions and recognize gay marriage."
1.333333333,10848,6743,1,27,1,21,2,1,"Marriage is a civil right, and gays can get married, but you don't know if gay marriage is a civil right?","Gay rights advocates say that because the civil union designation is hard to understand and still treats committed gays differently from married couples, the courts should eliminate civil unions and recognize gay marriage."
1.666666667,9391,9391,346,269,1,0,1,1,I have stated that I believe gays should be allowed to do whatever they want to each other but should not be allowed to 'marry' or encourage anyone else to engage in their own perverted life style.,"Possibly, and if so they are satisfied with the present situation regarding gay marriage but I am guessing that many more want society to allow them to marry."
1.666666667,9391,6748,346,1,1,0,0,1,It seems to me that the anti gay crowd refuses to give gay couples the same respect they expect gay people to give them.,"Possibly, and if so they are satisfied with the present situation regarding gay marriage but I am guessing that many more want society to allow them to marry."
1.666666667,9391,6124,346,78,1,0,2,1,I think they are now advocating everyone to be allowed to get all marriage benefits even if they have no desire to be married because they are concerned about being inclusive to all.,"Possibly, and if so they are satisfied with the present situation regarding gay marriage but I am guessing that many more want society to allow them to marry."
1.333333333,9391,10778,346,12,1,0,0,3,I'm not gay but I believe they should be aloud to marry however if it is not in the religion for gays to we'd then they should respect that.,"Possibly, and if so they are satisfied with the present situation regarding gay marriage but I am guessing that many more want society to allow them to marry."
3.666666667,5520,19576,6,15,1,7,37,3,"Marriage is by definition between a man and a woman, and no one else, and the states interest is in a procreative type relationship, a gay couple does not entitle to these benefits.","The difference between a homosexual marriage and a heterosexual marriage(besides the fact that animals were meant to be paired heterosexually) is that GAY COUPLES CANNOT PROCREATE"" at one point."
3,5520,1281,6,101,1,7,9,1,"Not all heterosexual couples have children, and not all gay couples are childless.","The difference between a homosexual marriage and a heterosexual marriage(besides the fact that animals were meant to be paired heterosexually) is that GAY COUPLES CANNOT PROCREATE"" at one point."
1.666666667,4339,2915,93,412,1,8,11,1,"It is those opposed to gay rights who don't care about the commitment; it is those opposed who say that it does not matter how commited a same-sex couple is, same-sex couples can't have marriage.","All opponents of same-sex marriage care about is getting their own religious beliefs put into law, no matter the cost."
2.333333333,4339,2583,93,491,1,8,6,1,"In the case of same-sex marriage, I have to assume that we are not giving benefits to people based on their religious beliefs regarding what constitutes a marriage.","All opponents of same-sex marriage care about is getting their own religious beliefs put into law, no matter the cost."
1.666666667,9391,8228,341,46,1,0,6,1,"As I've said many times already, there are more similarities when it comes to gay marriage, to all other legal marriages.",I have said before on other forums that gay marriage is not a threat to Christianity before but that really isnt the reason they dont want gay marriage to be legal.
1.333333333,28572,22862,5,4,3,0,1,3,I would fight against number two because I'm for states rights do you believe each state should have the right not to recognize any marriage - for instance the states that had laws prohibiting interracial marriages?,"Actually, I believe the tenth amendment states that we have rights not listed in the Constitution (I think it is the tenth, I may be wrong)."
1.333333333,2911,3114,28,52,1,9,1,1,"I mean, I can't think of any good analogy for denying same-sex marriage.",I also think that most Americans are truly uninformed when it comes to the issue of same sex marriage.
1.333333333,2911,1613,28,872,1,9,0,1,There are a lot of in this country who believe that same sex marriage is just as oddball as the ones I mentioned,I also think that most Americans are truly uninformed when it comes to the issue of same sex marriage.
1,2911,1281,28,232,1,9,40,1,"I think the real issue is not ""should gays be allowed to marry.""",I also think that most Americans are truly uninformed when it comes to the issue of same sex marriage.
1.333333333,3723,47,93,174,1,10,12,2,As far as explaining the world to your children: Why not just explain that some people love other people who happen to be the same sex as they are?,"They're people with an attraction to children, with a very different attraction than homosexual men who are attracted to other men."
2.333333333,3723,3723,93,93,1,10,8,1,"The only thing we are saying is that men who are attracted to other adult men should be allowed to get married, just as men who are attracted to other adult women should be allowed to get married.","They're people with an attraction to children, with a very different attraction than homosexual men who are attracted to other men."
1.666666667,3723,9391,93,594,1,10,5,1,I realize that homosexuals are not attracted to members of the opposite sex and so they don't want to get married.,"They're people with an attraction to children, with a very different attraction than homosexual men who are attracted to other men."
5,3723,2583,93,115,1,10,38,1,There is a very big difference between someone who is attracted to and falls in love with someone of the same sex and someone who is attracted to children of the same sex.,"They're people with an attraction to children, with a very different attraction than homosexual men who are attracted to other men."
1.666666667,8693,1281,24,294,1,6,0,1,"Are you saying that gay people who pay into the same systems, shouldn't also benefit?",I pointed out to you that the same argument could be made against interracial marriage - so what if we'd force people to allow the government to grant benefits to a new group?
1.333333333,8693,9391,24,473,1,6,3,1,We should allow same sex marriage because we as a country believe in equality for all people.,I pointed out to you that the same argument could be made against interracial marriage - so what if we'd force people to allow the government to grant benefits to a new group?
1,8693,4339,24,103,1,6,40,1,"In the same fashion, if denying a few people privacy on this petition would legalize same-sex marriage, then I would support doing that, for legalizing same-sex marriage is far more beneficial to the people.",I pointed out to you that the same argument could be made against interracial marriage - so what if we'd force people to allow the government to grant benefits to a new group?
2,8755,10073,191,78,1,77,26,1,"I agree that people should have, and they do have, the religious liberty to believe whatever they want and to frown on same-sex marriage if they want to.",People in Massachusetts are free to believe what they want about gay marriage.
1,8755,2704,191,34,1,77,2,1,One one hand you seem to think that gay people don't have the right to get married at all--they do because you can get married anytime you want.,People in Massachusetts are free to believe what they want about gay marriage.
1.666666667,8755,8755,191,214,1,77,120,1,"While the presence of gay marriage being legal may ""influence"" children in some menial way, it does NOT ""damage the right of people to believe what they wish"".",People in Massachusetts are free to believe what they want about gay marriage.
3,8755,10073,191,188,1,77,13,1,"Churches and other religious bodies are free to espouse what they choose, and people are free to believe as they choose about same-sex relations and marriage, and they are free to believe that such relations are sinful.",People in Massachusetts are free to believe what they want about gay marriage.
1,8755,6748,191,1,1,77,0,1,It seems to me that the anti gay crowd refuses to give gay couples the same respect they expect gay people to give them.,People in Massachusetts are free to believe what they want about gay marriage.
1.333333333,8755,47,191,565,1,77,2,2,"It's human rights man, people have the right to do what they want, if they want to marry a gay then let them be.",People in Massachusetts are free to believe what they want about gay marriage.
1,8755,32803,191,258,1,77,1,3,"The people chose to give married couples tax breaks and benefits because they want to encourage marriage, not gay marriage.",People in Massachusetts are free to believe what they want about gay marriage.
1.333333333,8755,6646,191,213,1,77,11,1,Those who feel that same sex marriage should not be allowed are free to get married and divorced as many times as they like.,People in Massachusetts are free to believe what they want about gay marriage.
1,8755,7931,191,134,1,77,6,1,Often the argument given in favor of gay marriage is that they want the right to marry the person they love.,People in Massachusetts are free to believe what they want about gay marriage.
1,8755,5520,191,16,1,77,5,1,"I think most gay people would never want to get married in a church, we want a civil marriage.",People in Massachusetts are free to believe what they want about gay marriage.
2.333333333,47,3335,543,63,2,4,5,2,"If marriage was just a religious thing, then only the religious would be able to do it right?",Homosexual marriage is something that religious people disagree with by drawing a false line between right and wrong.
1,47,47,426,481,2,1,1,2,"second of all, gay marriage is a RIGHT as it is with any other straight person.","A married gay person is unlikely to have sex with others while he/she is married so therefore, the virus would really be kept between the couple."
2.333333333,1281,1613,552,356,1,4,1,1,"How does that still justify denying marriage to same-sex couples if the same ""privilege"" is given to opposite sex couples?","If it is, as proponents suggest, discrimination to deny same-sex couples the privilege of marriage, then it is also discrimination to deny the privilege to anyone else who wants to get married."
1.333333333,10572,9391,2,328,3,0,1,1,We should not argue that gays should have the 'right' to marry we should argue that the definition of ' marriage' should be changed.,I have seen only two arguments (and one of them is restated here) for gay marriage to not be a thing: we have to protect the sanctity of marriage or marriage should only be for people who can reproduce.
3.333333333,10572,9989,2,89,3,0,3,1,"Just as elderly people should not be barred from marrying because they cannot reproduce, so gay people should not be barred from marrying because they cannot reproduce with each other.",I have seen only two arguments (and one of them is restated here) for gay marriage to not be a thing: we have to protect the sanctity of marriage or marriage should only be for people who can reproduce.
1,10572,6493,2,52,3,0,5,1,"And as I pointed out, ""most people who oppose gay marriage"" are actually opposing gay marriage because they very much oppose gays in general.",I have seen only two arguments (and one of them is restated here) for gay marriage to not be a thing: we have to protect the sanctity of marriage or marriage should only be for people who can reproduce.
1.666666667,10572,10778,2,12,3,0,0,3,I'm not gay but I believe they should be aloud to marry however if it is not in the religion for gays to we'd then they should respect that.,I have seen only two arguments (and one of them is restated here) for gay marriage to not be a thing: we have to protect the sanctity of marriage or marriage should only be for people who can reproduce.
2,10572,47,2,140,3,0,0,2,"I don't care if calling it ""marriage"" offends people, or violates what they call the sanctity of marriage, gays should have the same RIGHTS that a married couple gets.",I have seen only two arguments (and one of them is restated here) for gay marriage to not be a thing: we have to protect the sanctity of marriage or marriage should only be for people who can reproduce.
2.333333333,2583,6124,337,78,1,12,2,1,I think they are now advocating everyone to be allowed to get all marriage benefits even if they have no desire to be married because they are concerned about being inclusive to all.,"Let me re-explain myself: If we legalize same-sex marriage, everyone will have an equal right to bestow their marriage benefits on one other person that they fall in love with."
2.333333333,2583,3078,337,56,1,12,3,1,"Now, why can't two people, who love each other very much, get married specifically because their partner happens to have the same body parts?","Let me re-explain myself: If we legalize same-sex marriage, everyone will have an equal right to bestow their marriage benefits on one other person that they fall in love with."
2,2583,2583,337,491,1,12,6,1,"In the case of same-sex marriage, I have to assume that we are not giving benefits to people based on their religious beliefs regarding what constitutes a marriage.","Let me re-explain myself: If we legalize same-sex marriage, everyone will have an equal right to bestow their marriage benefits on one other person that they fall in love with."
2,3621,3078,65,56,1,65,3,1,"Now, why can't two people, who love each other very much, get married specifically because their partner happens to have the same body parts?","People will not suddenly interpret their commitment to their loved ones differently if same-sex marriage is legalized, nor even if self-marriage is legalized."
